mach,coluna,impresso,recalculado,diferenca
0.01,GYRO,1.76,1.7568710955576787,-0.0031289044423212786
0.01,SBAR,-0.071,-0.07144770483228106,-0.0004477048322810706
0.01,SBAR5,1.399,1.3983010763428962,-0.0006989236571037782
0.01,SPIN,6.1,6.114963820805823,0.014963820805823147
0.01,W1,0.45,0.4453304114221599,-0.004669588577840111
0.01,W2,0.09,0.09239189101386178,0.00239189101386178
0.01,L1,-0.000435,-0.0004358202418419718,-8.20241841971805e-07
0.01,L2,9.6e-05,9.593081312485416e-05,-6.918687514583964e-08
0.01,L15,-7.3e-05,-7.301671739205175e-05,-1.6717392051750083e-08
0.01,L25,-0.000267,-0.0002668727113250659,1.2728867493410267e-07
0.6,GYRO,1.749,1.7461171804409128,-0.002882819559087313
0.6,SBAR,-0.071,-0.07144770483228106,-0.0004477048322810706
0.6,SBAR5,1.399,1.3983010763428962,-0.0006989236571037782
0.6,SPIN,366.9,366.89782924834935,-0.00217075165062397
0.6,W1,26.69,26.67665808918317,-0.013341910816830449
0.6,W2,5.57,5.586680056978131,0.016680056978130686
0.6,L1,-0.000437,-0.00043690862054986503,9.137945013496483e-08
0.6,L2,9.7e-05,9.70191918327474e-05,1.919183274740131e-08
0.6,L15,-7.3e-05,-7.261993635283529e-05,3.8006364716470717e-07
0.6,L25,-0.000267,-0.00026726949236428237,-2.694923642823817e-07
0.8,GYRO,1.618,1.6147008140303702,-0.0032991859696298587
0.8,SBAR,0.202,0.20251639910376062,0.0005163991037606119
0.8,SBAR5,1.532,1.5320213607942512,2.136079425119064e-05
0.8,SPIN,489.2,489.1971056644659,-0.00289433553410845
0.8,W1,34.79,34.77989985013458,-0.01010014986541563
0.8,W2,8.22,8.237884344747162,0.01788434474716105
0.8,L1,-0.000382,-0.00038198170114353075,1.829885646926089e-08
0.8,L2,4.1e-05,4.0890374554280566e-05,-1.0962544571943469e-07
0.8,L15,-3.2e-05,-3.144715877119865e-05,5.528412288013508e-07
0.8,L25,-0.00031,-0.00030964416781805153,3.558321819484658e-07
0.9,GYRO,1.352,1.3493557958873272,-0.0026442041126728544
0.9,SBAR,0.559,0.5588004166934801,-0.00019958330651992373
0.9,SBAR5,1.42,1.4197837702007463,-0.00021622979925361996
0.9,SPIN,550.3,550.346743872524,0.046743872524075414
0.9,W1,36.53,36.50986346629229,-0.02013653370771351
0.9,W2,11.85,11.885143752949658,0.03514375294965788
0.9,L1,-0.000349,-0.00034967832290152374,-6.783229015237119e-07
0.9,L2,-3.5e-05,-3.407524913911425e-05,9.247508608857492e-07
0.9,L15,-3.9e-05,-3.8485371209614495e-05,5.146287903855048e-07
0.9,L25,-0.000345,-0.0003452682008310235,-2.682008310235149e-07
0.95,GYRO,1.373,1.3709723892710686,-0.0020276107289314282
0.95,SBAR,0.718,0.7182763190619048,0.00027631906190483946
0.95,SBAR5,1.326,1.325781022118047,-0.0002189778819530197
0.95,SPIN,580.9,580.9215629765531,0.021562976553127555
0.95,W1,38.85,38.82823308711093,-0.02176691288907051
0.95,W2,12.22,12.255385644311126,0.03538564431112512
0.95,L1,-0.000319,-0.00031941838133689763,-4.1838133689762807e-07
0.95,L2,-0.000109,-0.00010816363595853896,8.363640414610422e-07
0.95,L15,-8.1e-05,-8.01461529859086e-05,8.538470140914066e-07
0.95,L25,-0.000347,-0.0003474358643095281,-4.3586430952810085e-07
1.0,GYRO,1.453,1.4504939515866038,-0.0025060484133963
1.0,SBAR,0.814,0.8147599242850606,0.0007599242850606647
1.0,SBAR5,1.162,1.161761627513501,-0.00023837248649893894
1.0,SPIN,611.5,611.4963820805823,-0.0036179194177066165
1.0,W1,41.89,41.86966007022891,-0.020339929771090226
1.0,W2,11.87,11.902570173373267,0.03257017337326751
1.0,L1,-0.000327,-0.00032723525260260647,-2.3525260260648904e-07
1.0,L2,-0.00019,-0.00019000756163863364,-7.561638633632852e-09
1.0,L15,-0.000175,-0.0001743788171101468,6.211828898532114e-07
1.0,L25,-0.000343,-0.0003428639971310933,1.3600286890669104e-07
1.05,GYRO,1.486,1.4831740579481738,-0.00282594205182618
1.05,SBAR,1.039,1.0383614350328318,-0.000638564967168076
1.05,SBAR5,1.253,1.2534351454112715,0.0004351454112716535
1.05,SPIN,642.1,642.0712011846115,-0.028798815388540788
1.05,W1,44.37,44.343298065040145,-0.026701934959852736
1.05,W2,12.09,12.117543690742139,0.027543690742138693
1.05,L1,-0.000223,-0.0002231878029098661,-1.87802909866106e-07
1.05,L2,-0.000285,-0.00028474499131332523,2.550086866747554e-07
1.05,L15,-0.000133,-0.0001328635610402825,1.36438959717506e-07
1.05,L25,-0.000375,-0.00037506923318290886,-6.92331829088566e-08
1.1,GYRO,1.516,1.5131872068614667,-0.0028127931385333316
1.1,SBAR,1.057,1.057777993036946,0.0007779930369460342
1.1,SBAR5,1.2,1.199561921602754,-0.00043807839724596676
1.1,SPIN,672.6,672.6460202886406,0.04602028864053409
1.1,W1,46.82,46.79786613689235,-0.022133863107647755
1.1,W2,12.32,12.351587131070035,0.03158713107003486
1.1,L1,-0.000231,-0.00023072061392023278,2.793860797672249e-07
1.1,L2,-0.00031,-0.0003103206846331605,-3.206846331604905e-07
1.1,L15,-0.000168,-0.00016833119949999676,-3.311994999967709e-07
1.1,L25,-0.000373,-0.00037271009905339656,2.8990094660345106e-07
1.2,GYRO,1.546,1.5432023407984103,-0.0027976592015896973
1.2,SBAR,1.056,1.0557541542938031,-0.00024584570619690105
1.2,SBAR5,1.15,1.1495991372575067,-0.0004008627424931799
1.2,SPIN,733.8,733.7956584966987,-0.00434150330124794
1.2,W1,51.43,51.40495767262151,-0.025042327378493212
1.2,W2,13.09,13.121718619701097,0.03171861970109724
1.2,L1,-0.000249,-0.00024896043947328464,3.956052671533856e-08
1.2,L2,-0.000328,-0.0003278702477590722,1.2975224092777677e-07
1.2,L15,-0.000205,-0.0002055133494666823,-5.133494666823175e-07
1.2,L25,-0.000371,-0.00037131733776567456,-3.1733776567453723e-07
1.35,GYRO,1.579,1.5760431518160154,-0.0029568481839845617
1.35,SBAR,1.121,1.121161841497623,0.00016184149762299427
1.35,SBAR5,1.201,1.2003375067166144,-0.0006624932833856345
1.35,SPIN,825.5,825.5201158087862,0.020115808786158595
1.35,W1,58.26,58.239724101485784,-0.020275898514213964
1.35,W2,14.32,14.352786727377161,0.03278672737716093
1.35,L1,-0.000219,-0.00021896059389018272,3.940610981728772e-08
1.35,L2,-0.000353,-0.0003528945625812839,1.054374187161298e-07
1.35,L15,-0.000183,-0.00018322672912046277,-2.26729120462771e-07
1.35,L25,-0.000389,-0.00038862842735100383,3.715726489961885e-07
1.5,GYRO,1.69,1.6868425061158265,-0.0031574938841734124
1.5,SBAR,1.132,1.1317043522909302,-0.0002956477090696463
1.5,SBAR5,1.201,1.2008244054726869,-0.00017559452731319425
1.5,SPIN,917.2,917.2445731208734,0.04457312087333776
1.5,W1,66.09,66.0633700223084,-0.026629977691598583
1.5,W2,14.56,14.594975343094838,0.034975343094837186
1.5,L1,-0.000224,-0.00022442849409392413,-4.284940939241306e-07
1.5,L2,-0.000362,-0.0003617509392016523,2.490607983477106e-07
1.5,L15,-0.000194,-0.00019403528544519407,-3.5285445194074665e-08
1.5,L25,-0.000392,-0.00039214414785038236,-1.4414785038237244e-07
1.75,GYRO,1.823,1.8204024776470962,-0.0025975223529037805
1.75,SBAR,1.154,1.1553547157397215,0.0013547157397215681
1.75,SBAR5,1.216,1.2154163117944428,-0.000583688205557209
1.75,SPIN,1070.1,1070.118668641019,0.01866864101907595
1.75,W1,78.66,78.63679195360072,-0.023208046399275872
1.75,W2,15.43,15.464610972703081,0.034610972703081444
1.75,L1,-0.000222,-0.00022229522983087353,-2.952298308735266e-07
1.75,L2,-0.000373,-0.0003730319817137122,-3.198171371216743e-08
1.75,L15,-0.000197,-0.00019669705260108892,3.029473989110698e-07
1.75,L25,-0.000399,-0.00039863015894349673,3.698410565032605e-07
2.0,GYRO,1.945,1.942038044106118,-0.00296195589388204
2.0,SBAR,1.174,1.174253981343132,0.00025398134313214804
2.0,SBAR5,1.226,1.225894382585613,-0.00010561741438697148
2.0,SPIN,1223.0,1222.9927641611646,-0.007235838835413233
2.0,W1,91.25,91.22322898093368,-0.026771019066316626
2.0,W2,16.28,16.321231506270657,0.041231506270655416
2.0,L1,-0.000221,-0.00022046274302069273,5.372569793072712e-07
2.0,L2,-0.000381,-0.00038120781840459274,-2.078184045927454e-07
2.0,L15,-0.000199,-0.00019896141647755535,3.8583522444666975e-08
2.0,L25,-0.000403,-0.00040270914494773015,2.908550522698317e-07
2.5,GYRO,2.162,2.1586667272771485,-0.0033332727228514436
2.5,SBAR,1.202,1.2012098896396557,-0.000790110360344265
2.5,SBAR5,1.245,1.2449268316339681,-7.316836603199484e-05
2.5,SPIN,1528.7,1528.7409552014558,0.04095520145574483
2.5,W1,116.48,116.45942489365133,-0.02057510634867299
2.5,W2,17.93,17.971150715354117,0.041150715354117295
2.5,L1,-0.000219,-0.00021933635016416848,-3.3635016416847224e-07
2.5,L2,-0.000396,-0.00039555508785457547,4.4491214542451097e-07
2.5,L15,-0.000202,-0.0002015768730544783,4.231269455217139e-07
2.5,L25,-0.000413,-0.00041331456496426566,-3.1456496426564805e-07
3.0,GYRO,2.269,2.265330259683784,-0.0036697403162162523
3.0,SBAR,1.203,1.2029516537910039,-4.8346208996186135e-05
3.0,SBAR5,1.24,1.2394674827419883,-0.0005325172580117332
3.0,SPIN,1834.4,1834.4891462417468,0.08914624174667551
3.0,W1,140.96,140.94004553245549,-0.01995446754452246
3.0,W2,20.33,20.376645198351007,0.04664519835100833
3.0,L1,-0.000219,-0.00021897522913592383,2.4770864076183348e-08
3.0,L2,-0.000391,-0.00039084152897826024,1.5847102173978085e-07
